t0,tf,angulo,delay_real,delay_ideal,jitter
2998895,3003331,90,4436,4166.666666666667,269.33333333333303
3008089,3012521,90,4432,4166.666666666667,265.33333333333303
3015562,3019968,90,4406,4166.666666666667,239.33333333333303
3024756,3029159,90,4403,4166.666666666667,236.33333333333303
3032244,3036651,90,4407,4166.666666666667,240.33333333333303
3041424,3045827,90,4403,4166.666666666667,236.33333333333303
3048902,3053308,90,4406,4166.666666666667,239.33333333333303
3058095,3062497,90,4402,4166.666666666667,235.33333333333303
3065573,3069979,90,4406,4166.666666666667,239.33333333333303
3074770,3079197,90,4427,4166.666666666667,260.33333333333303
3082241,3086676,90,4435,4166.666666666667,268.33333333333303
3091437,3095840,90,4403,4166.666666666667,236.33333333333303
3098922,3103328,90,4406,4166.666666666667,239.33333333333303
3108109,3112511,90,4402,4166.666666666667,235.33333333333303
3115583,3119988,90,4405,4166.666666666667,238.33333333333303
3124775,3129177,90,4402,4166.666666666667,235.33333333333303
3132258,3136665,90,4407,4166.666666666667,240.33333333333303
3141445,3145847,90,4402,4166.666666666667,235.33333333333303
3148926,3153332,90,4406,4166.666666666667,239.33333333333303
3158117,3162518,90,4401,4166.666666666667,234.33333333333303
3165588,3170019,90,4431,4166.666666666667,264.33333333333303
3174790,3179192,90,4402,4166.666666666667,235.33333333333303
3182267,3186672,90,4405,4166.666666666667,238.33333333333303
3191459,3195862,90,4403,4166.666666666667,236.33333333333303
3198943,3203349,90,4406,4166.666666666667,239.33333333333303
3208129,3212531,90,4402,4166.666666666667,235.33333333333303
3215609,3220015,90,4406,4166.666666666667,239.33333333333303
3224800,3229202,90,4402,4166.666666666667,235.33333333333303
3232273,3236680,90,4407,4166.666666666667,240.33333333333303
3241480,3245882,90,4402,4166.666666666667,235.33333333333303
3248944,3253350,90,4406,4166.666666666667,239.33333333333303
3258141,3262542,90,4401,4166.666666666667,234.33333333333303
3265621,3270027,90,4406,4166.666666666667,239.33333333333303
3274814,3279245,90,4431,4166.666666666667,264.33333333333303
3282288,3286693,90,4405,4166.666666666667,238.33333333333303
3291485,3295888,90,4403,4166.666666666667,236.33333333333303
3298957,3303362,90,4405,4166.666666666667,238.33333333333303
3308152,3312554,90,4402,4166.666666666667,235.33333333333303
3315625,3320031,90,4406,4166.666666666667,239.33333333333303
3324822,3329224,90,4402,4166.666666666667,235.33333333333303
3332298,3336705,90,4407,4166.666666666667,240.33333333333303
3341492,3345902,90,4410,4166.666666666667,243.33333333333303
3348972,3353408,90,4436,4166.666666666667,269.33333333333303
3358162,3362564,90,4402,4166.666666666667,235.33333333333303
3365637,3370043,90,4406,4166.666666666667,239.33333333333303
3374835,3379237,90,4402,4166.666666666667,235.33333333333303
3382312,3386719,90,4407,4166.666666666667,240.33333333333303
3391512,3395944,90,4432,4166.666666666667,265.33333333333303
3398984,3403420,90,4436,4166.666666666667,269.33333333333303
3408181,3412583,90,4402,4166.666666666667,235.33333333333303
3415655,3420061,90,4406,4166.666666666667,239.33333333333303
3424848,3429250,90,4402,4166.666666666667,235.33333333333303
3432322,3436729,90,4407,4166.666666666667,240.33333333333303
3441520,3445922,90,4402,4166.666666666667,235.33333333333303
3448993,3453398,90,4405,4166.666666666667,238.33333333333303
3458187,3462598,90,4411,4166.666666666667,244.33333333333303
3465663,3470069,90,4406,4166.666666666667,239.33333333333303
3474866,3479298,90,4432,4166.666666666667,265.33333333333303
3482336,3486772,90,4436,4166.666666666667,269.33333333333303
3491534,3495937,90,4403,4166.666666666667,236.33333333333303
3499012,3503443,90,4431,4166.666666666667,264.33333333333303
3508214,3512646,90,4432,4166.666666666667,265.33333333333303
3515683,3520089,90,4406,4166.666666666667,239.33333333333303
3524879,3529308,90,4429,4166.666666666667,262.33333333333303
3532350,3536756,90,4406,4166.666666666667,239.33333333333303
3541539,3545941,90,4402,4166.666666666667,235.33333333333303
3549027,3553433,90,4406,4166.666666666667,239.33333333333303
3558213,3562614,90,4401,4166.666666666667,234.33333333333303
3565693,3570128,90,4435,4166.666666666667,268.33333333333303
3574893,3579295,90,4402,4166.666666666667,235.33333333333303
3582363,3586770,90,4407,4166.666666666667,240.33333333333303
3591559,3595961,90,4402,4166.666666666667,235.33333333333303
3599031,3603437,90,4406,4166.666666666667,239.33333333333303
3608227,3612628,90,4401,4166.666666666667,234.33333333333303
3615707,3620112,90,4405,4166.666666666667,238.33333333333303
3624898,3629329,90,4431,4166.666666666667,264.33333333333303
3632387,3636824,90,4437,4166.666666666667,270.33333333333303
3641565,3645968,90,4403,4166.666666666667,236.33333333333303
3649048,3653480,90,4432,4166.666666666667,265.33333333333303
3658238,3662640,90,4402,4166.666666666667,235.33333333333303
