angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
10,181761999,181762687,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,181778662,181779334,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,181795347,181796035,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,181811980,181812653,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,181828671,181829359,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,181845334,181846006,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,181862074,181862759,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,181878763,181879450,687,462.962962962963,224.037037037037,455.6608513700627,-7.302111592900303
10,181895409,181896093,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,181912119,181912797,678,462.962962962963,215.037037037037,446.6608513700627,-16.302111592900303
10,181928745,181929430,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,181945442,181946118,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,181962067,181962751,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,181978773,181979449,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,181995423,181996107,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182012123,182012800,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182028859,182029544,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,182045478,182046151,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,182062161,182062850,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182078811,182079483,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182095504,182096192,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,182112139,182112812,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,182128813,182129501,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,182145588,182146260,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182162158,182162847,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182178908,182179591,683,462.962962962963,220.037037037037,451.6608513700627,-11.302111592900303
10,182195596,182196285,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182212240,182212913,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,182228848,182229528,680,462.962962962963,217.037037037037,448.6608513700627,-14.302111592900303
10,182245553,182246230,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182262296,182262980,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182278883,182279559,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,182295644,182296328,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182312227,182312904,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182328974,182329669,695,462.962962962963,232.037037037037,463.6608513700627,0.6978884070996969
10,182345581,182346258,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182362320,182363004,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182379011,182379688,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182395657,182396342,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,182412275,182412947,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182428969,182429658,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182445624,182446297,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,182462312,182463001,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182479069,182479742,673,462.962962962963,210.037037037037,441.6608513700627,-21.302111592900303
10,182495746,182496434,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
